##,World,CountryCode,Population,Columns,CountrySize,LatestCount,Position,Date of Day 1,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note
48,Djibouti,DJI,"988,000",BD,A,"1,120",56,8/4/2020,,15/3/2020,,National,,,,,,,,,,,,,
49,Dominica,DMA,"71,986",BE,A,16,57,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
50,Dominican Republic,DOM,"10,847,910",BF,C,"8,480",58,22/3/2020,,19/3/2020,,National,,,,,,,,,,,,,
51,Ecuador,ECU,"17,643,054",BG,C,"31,881",59,18/3/2020,,16/3/2020,31/3/2020,National,,,,,,,,,,,,,
52,Egypt,EGY,"102,334,404",BH,D,"7,201",60,16/3/2020,,25/3/2020,,National,,,,,,,,,,,,,
53,El Salvador,SLV,"6,486,205",BI,C,587,61,9/4/2020,,11/3/2020,,National,,,,,,,,,,,,,
54,Equatorial Guinea,,"1,402,985",BJ,A,439,62,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
55,Eritrea,,"3,546,421",BK,A,39,63,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
56,Estonia,EST,"1,326,535",BL,A,"1,711",64,15/3/2020,,14/3/2020,,National,Movement restrictions,,,,,,,,,,,,
57,Ethiopia,ETH,"114,963,588",BM,D,145,65,#REF!,,16/3/2020,,National,,,,,,,,,,,,,
58,Faeroe Islands,,"48,863",BN,A,187,66,23/3/2020,,,,,,,,,,,,,,,,,
59,Falkland Islands,,"3,480",BO,A,13,67,#REF!,British Territory,27/3/2020,,National,Critically ill child suspected of coronavirus,,,,,,,,,,,,
60,Fiji,,"896,445",BP,A,18,68,#REF!,,20/3/2020,,National,,,,,,,,,,,,,
61,Finland,FIN,"5,540,720",BQ,A,"5,412",69,13/3/2020,,27/3/2020,16/4/2020,Localized,Uusimaa,,,,,,,,,,,,
62,France,FRA,"65,273,511",BR,D,"132,967",70,2/3/2020,,17/3/2020,,National,,,,,,,,,,,,,
63,French Polynesia,,"280,908",BS,A,60,71,#REF!,France,27/3/2020,,National,Partial,,,,,,,,,,,,
64,Gabon,GAB,"2,225,734",BT,A,397,72,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
65,Gambia,GMB,"2,416,668",BU,A,17,73,#REF!,,27/3/2020,,,,,,,,,,,,,,,
66,Georgia,,"3,989,167",BV,A,604,74,1/4/2020,,22/3/2020,,National,Partial,,,,,,,,,,,,
67,Germany,DEU,"83,783,942",BW,D,"164,897",75,1/3/2020,,23/3/2020,,National,,,,,,,,,,,,,
68,Ghana,GHA,"31,072,940",BX,B,"2,719",76,27/3/2020,,28/4/2020,,Localized,Accra and Kumasi,,,,,,,,,,,,
69,Gibraltar,,"33,691",BY,A,144,77,6/4/2020,British Overseas Territory,24/3/2020,,National,,,,,,,,,,,,,
70,Greece,GRC,"10,423,054",BZ,C,"2,642",78,13/3/2020,,23/3/2020,27/4/2020,National,,,,,,,,,,,,,
71,Greenland,GRL,"56,770",CA,A,11,79,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
72,Grenada,,"112,523",CB,A,21,80,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
73,Guam,GUM,"168,775",CC,A,149,81,6/4/2020,US state,24/3/2020,,National,,,,,,,,,,,,,
74,Guatemala,GTM,"17,915,568",CD,C,763,82,10/4/2020,,,,Null,No lockdown,,,,,,,,,,,,
75,Guinea,,"13,132,795",CF,C,"1,811",84,5/4/2020,,,,Null,Curfew,,,,,,,,,,,,
76,Guinea-Bissau,,"1,968,001",CG,A,475,85,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
77,Guyana,GUY,"786,552",CH,A,93,86,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
78,Haiti,,"11,402,528",CI,C,101,87,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
79,Honduras,HND,"9,904,607",CJ,C,"1,270",88,29/3/2020,,15/3/2020,,National,Partial,,,,,,,,,,,,
